SEC Region,Organization CRD#,Additional CRD Number,Total number of additional CRD numbers,SEC#,Firm Type,CIK#,Total number of CIK numbers,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Private Residence Flag,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,Mail Office Private Residence Flag,Chief Compliance Officer Name,Chief Compliance Officer Other Titles,Chief Compliance Officer Telephone,Chief Compliance Officer Facsimile,Chief Compliance Officer Street Address 1,Chief Compliance Officer Street Address 2,Chief Compliance Officer City,Chief Compliance Officer State,Chief Compliance Officer Country,Chief Compliance Officer Postal Code,Chief Compliance Officer E-mail,Name of the other person compensating CCO,EIN of the Other person compensating CCO,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,1I,Website Address,Total Number of Website Addresses,Location of Books and Records Street Address 1,Location of Books and Records Street Address 2,Location of Books and Records City,Location of Books and Records State,Location of Books and Records Country,Location of Books and Records Postal Code,Total Number of Books and Records Locations,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),Count of IA Affiliates,Count of IA/BD Affiliates,Count of BD Affiliates,Control/Controlled by Related Person,Under Common Control,Share Supervised Persons,Share Location,7B,Count of Private Funds - 7B(1),Any PFs a Master,Any Hedge Funds,Total number of Hedge funds,Any Liquidity Funds,Total number of Liquidity funds,Any PE Funds,Total number of PE funds,Any Real Estate Funds,Total number of Real Estate funds,Any Securitized Funds,Total number of Securitized funds,Any VC Funds,Total number of VC funds,Any Other Funds,Total number of Other funds,Total Gross Assets of Private Funds,Count of Private Funds - 7B(2),10A,Count of Control person Public Reporting Company,11,11A(1),Count of 11A(1) disclosures,11A(2),Count of 11A(2) disclosures,11B(1),Count of 11B(1) disclosures,11B(2),Count of 11B(2) disclosures,11C(1),Count of 11C(1) disclosures,11C(2),Count of 11C(2) disclosures,11C(3),Count of 11C(3) disclosures,11C(4),Count of 11C(4) disclosures,11C(5),Count of 11C(5) disclosures,11D(1),Count of 11D(1) disclosures,11D(2),Count of 11D(2) disclosures,11D(3),Count of 11D(3) disclosures,11D(4),Count of 11D(4) disclosures,11D(5),Count of 11D(5) disclosures,11E(1),Count of 11E(1) disclosures,11E(2),Count of 11E(2) disclosures,11E(3),Count of 11E(3) disclosures,11E(4),Count of 11E(4) disclosures,11F,Count of 11F disclosures,11G,Count of 11G disclosures,11H(1)(a),Count of 11H(1)(a) disclosures,11H(1)(b),Count of 11H(1)(b) disclosures,11H(1)(c),Count of 11H(1)(c) disclosures,11H(2),Count of 11H(2) disclosures,12A,12B(1),12B(2),12C(1),12C(2)
HQ,331937,,,802-131181,ERA,,,SPECIALISED RESEARCH (UK),SPECIALISED RESEARCH (UK) LTD,CENSEO HOUSE,6 ST PETERS ST,ST ALBANS,,United Kingdom,AL1 3LF,N,4.40173E+12,,0,,,,,,,,MARK LENNON,,4.41727E+11,,CENSEO HOUSE,6 ST PETERS ST,ST ALBANS,,United Kingdom,AL1 3LF,MLENNON@HALCYONGO.COM,,,ERA - Active,8/26/2024,,3/3/2025,21-Oct,N,,0,,,,,,,0,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,1,Y,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
CHRO,165345,,,802-107565,ERA,,,MMF CAPITAL MANAGEMENT V LLC,MMF CAPITAL MANAGEMENT V LLC,55 WEST MONROE STREET,SUITE 3650,CHICAGO,IL,United States,60603,N,312-291-7300,312-345-0665,0,,,,,,,,PAUL G. KREIE,SENIOR MANAGING DIRECTOR,312-291-7300,312-345-0665,55 W MONROE STREET,SUITE 3650,CHICAGO,IL,United States,60603,PKREIE@MMFCAPITAL.COM,,,ERA - Active,3/28/2016,,5/12/2025,21-Oct,Y,HTTP://WWW.MMFCAPITAL.COM,2,,,,,,,0,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,4,N,N,,N,,Y,4,N,,N,,N,,N,,"388,360,245.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,332556,,,802-131282,ERA,,,ARTEMIS ADVISORY PARTNERS LTD,ARTEMIS ADVISORY PARTNERS LTD,68 FORT STREET,GEORGE TOWN,GRAND CAYMAN,,Cayman Islands,KY1-1207,N,+1 345 925 9289,,0,68 FORT STREET,"GEORGE TOWN, PO BOX 31726",GRAND CAYMAN,,Cayman Islands,KY1-1207,N,ALASTAIR LOXTON,DIRECTOR,+1 345 925 9289,,68 FORT STREET,"GEORGE TOWN, PO BOX 31726",GRAND CAYMAN,,Cayman Islands,KY1-1207,AL.LOXTON@ARTEMIS.KY,,,ERA - Active,9/11/2024,,2/24/2025,21-Oct,Y,https://artemis.ky/,1,,,,,,,0,Y,N,N,,,N,Y,N,Other (specify),LIMITED COMPANY,JUNE,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,Y,1,N,,N,,N,,N,,N,,N,,"161,000,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,334247,,,802-132153,ERA,,,MGX FUND MANAGEMENT LIMITED,MGX FUND MANAGEMENT LIMITED,16 FLOOR AL SARAB TOWER,"ADGM SQUARE, AL MARYAH ISLAND",ABU DHABI,,United Arab Emirates,,N,9.71505E+11,,0,,,,,,,,NAOMI CHEN YEN LI,HEAD OF COMPANY / MONEY LAUNDERING REPORTING OFFICER,9.71505E+11,,16 AL SARAB TOWER,"ADGM SQUARE, AL MARYAH ISLAND",ABU DHABI,,United Arab Emirates,,NCHEN@MGX.AE,,,ERA - Active,2/10/2025,,2/10/2025,21-Oct,Y,https://www.mgx.ae/en,1,ONE VANDERBILT AVENUE,51ST FLOOR,NEW YORK,NY,United States,10017,2,Y,N,N,,,N,Y,N,Other (specify),PRIVATE COMPANY LIMITED BY SHARES,DECEMBER,,United Arab Emirates,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1,0,0,Y,Y,Y,Y,Y,3,N,N,,N,,Y,3,N,,N,,N,,N,,"2,424,802,467.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
BRO,310136,,,802-119733,ERA,,,CATCH POINT RIGHTS PARTNERS LP,CATCH POINT RIGHTS PARTNERS LP,68 HARRISON AVE,SUITE 605 PMB62732,BOSTON,MA,United States,02111-1929,N,212-971-9760,,3,,,,,,,,,,,,,,,,,,,,,ERA - Active,10/5/2020,,3/27/2025,21-Oct,Y,https://www.catchpointrights.com/,2,2777 N. STEMMONS FREEWAY,SUITE 1425,DALLAS,TX,United States,75207,1,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,0,0,0,Y,Y,Y,Y,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"35,457,241.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,162461,,,802-75167,ERA,,,DRAPER FISHER JURVETSON,"DFJ MANAGEMENT, LLC",1 NORTH B STREET,SUITE 2500,SAN MATEO,CA,United States,94401,N,650-233-9000,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/28/2012,,3/31/2025,21-Oct,Y,HTTP://WWW.DFJ.COM,2,,,,,,,0,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,CA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4,0,0,Y,Y,Y,Y,Y,6,N,N,,N,,N,,N,,N,,Y,6,N,,"5,302,385,084.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
LARO,161930,,,802-75016,ERA,,,"AVALON VENTURES MANAGEMENT, LLC","AVALON VENTURES MANAGEMENT, LLC",1134 KLINE STREET,,LA JOLLA,CA,United States,92037,N,858-348-2180,858-348-2183,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/27/2012,,3/25/2025,21-Oct,Y,HTTP://WWW.AVALON-VENTURES.COM,2,,,,,,,0,N,N,N,,,Y,N,Y,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,8,Y,N,,N,,N,,N,,N,,Y,8,N,,"312,074,072.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
FWRO,324458,,,802-132691,ERA,,,"EXPLORE CAPITAL MANAGEMENT, LLC","EXPLORE CAPITAL MANAGEMENT, LLC",5960 BERKSHIRE LANE,6TH FLOOR,DALLAS,TX,United States,75225,N,424-355-9191,,0,,,,,,,,SUMEET JAISINGHANI,,424-355-9191,,5960 BERKSHIRE LANE,6TH FLOOR,DALLAS,TX,United States,75225,SJ@EXPLORECAPITAL.COM,,,ERA - Active,4/1/2025,,4/1/2025,21-Oct,Y,https://www.linkedin.com/company/explorecapital/,2,,,,,,,0,N,N,N,,92-1122993,N,Y,N,Limited Liability Company,,DECEMBER,TX,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,N,N,N,Y,2,Y,Y,2,N,,N,,N,,N,,N,,N,,"114,177,533.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,284296,,,802-107991,ERA,,,AZLIN CONSULTANTS PVT. LTD.,AZLIN CONSULTANTS PVT. LTD.,"C-2 BLUE HEAVEN, OPPOSITE MEGHALAY FLATS",NARANPURA,AHMEDABAD,,India,380014,N,+91 98200 79414,,1,,,,,,,,,,,,,,,,,,,,,ERA - Active,6/13/2016,,6/27/2025,21-Oct,N,,0,,,,,,,0,N,N,N,,213800RTF9DJSPK5QG50,N,Y,N,Corporation,,MARCH,,India,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,1,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,330745,,,802-131582,ERA,80274761,1,"DRAPER FISHER JURVETSON GOTHAM MANAGEMENT, LLC","DRAPER FISHER JURVETSON GOTHAM MANAGEMENT, LLC",44 SOUTH BROADWAY,SUITE 100,WHITE PLAINS,NY,United States,10601,N,2122793980,,0,,,,,,,,DANIEL J SCHULTZ,MANAGING DIRECTOR,2122793980,,44 S BROADWAY,SUITE 100,WHITE PLAINS,NY,United States,10601,DANNY@GOTHAMVC.COM,,,ERA - Active,11/6/2024,,11/6/2024,21-Oct,Y,http://www.gothamvc.com,1,95 N STATE ROUTE 17,SUITE 304,PARAMUS,NJ,United States,07652,1,N,N,N,,134083116,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,MANAGEMENT COMPANY OF A VENTURE CAPITAL FUND,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,N,Y,Y,7,N,N,,N,,N,,N,,N,,Y,7,N,,"73,627,386.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
